order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,83,2,1617.96,3235.92
2,1,61,4,1746.14,6984.56
3,1,78,3,811.22,2433.66
4,1,37,3,730.37,2191.11
5,1,134,1,214.56,214.56
6,2,45,3,1285.51,3856.53
7,2,110,4,537.75,2151.0
8,2,143,3,407.15,1221.45
9,2,127,4,29.24,116.96
10,2,13,4,766.06,3064.24
11,3,77,2,1310.38,2620.76
12,3,97,4,123.19,492.76
13,4,58,2,147.73,295.46
14,4,77,4,1310.38,5241.52
15,5,144,4,617.33,2469.32
16,6,143,2,407.15,814.3
17,6,136,3,317.56,952.68
18,6,35,2,1127.12,2254.24
19,6,100,3,248.57,745.71
20,7,116,3,1864.19,5592.57
21,8,138,2,830.47,1660.94
22,9,69,4,144.13,576.52
23,10,11,4,562.96,2251.84
24,10,19,2,1412.1,2824.2
25,10,49,3,221.76,665.28
26,10,144,3,617.33,1851.99
27,10,56,1,125.27,125.27
28,11,49,4,221.76,887.04
29,11,31,2,1886.39,3772.78
30,12,53,3,11.14,33.42
31,12,102,4,173.15,692.6
32,12,62,4,1858.54,7434.16
33,12,142,3,1745.61,5236.83
34,12,83,3,1617.96,4853.88
35,13,93,4,600.45,2401.8
36,13,132,1,1866.85,1866.85
37,13,128,4,1767.38,7069.52
38,14,53,4,11.14,44.56
39,14,95,1,634.07,634.07
40,14,81,2,849.54,1699.08
41,15,5,4,196.45,785.8
42,15,67,3,1181.0,3543.0
43,16,51,2,314.15,628.3
44,16,85,4,39.37,157.48
45,17,63,4,630.32,2521.28
46,17,128,4,1767.38,7069.52
47,17,141,4,326.8,1307.2
48,17,87,2,818.76,1637.52
49,17,66,3,51.86,155.58
50,18,36,4,1173.33,4693.32
51,18,140,2,1343.12,2686.24
52,19,16,1,258.4,258.4
53,19,135,4,1750.68,7002.72
54,19,9,2,1620.77,3241.54
55,19,20,2,463.52,927.04
56,19,13,1,766.06,766.06
57,20,3,4,1475.58,5902.32
58,20,56,3,125.27,375.81
59,21,124,4,17.06,68.24
60,22,2,4,557.31,2229.24
61,23,5,3,196.45,589.35
62,24,74,1,820.05,820.05
63,24,5,1,196.45,196.45
64,24,129,2,81.7,163.4
65,24,111,2,146.89,293.78
66,24,46,2,875.18,1750.36
67,25,135,1,1750.68,1750.68
68,25,65,3,503.33,1509.99
69,25,91,4,851.78,3407.12
70,25,69,4,144.13,576.52
71,25,102,2,173.15,346.3
72,26,77,1,1310.38,1310.38
73,26,21,1,1712.08,1712.08
74,27,98,1,1704.17,1704.17
75,27,97,1,123.19,123.19
76,27,142,2,1745.61,3491.22
77,27,122,1,982.18,982.18
78,28,112,1,577.12,577.12
79,28,85,2,39.37,78.74
80,28,145,2,57.09,114.18
81,28,25,4,1273.61,5094.44
82,29,12,1,1529.35,1529.35
83,29,20,2,463.52,927.04
84,29,72,3,1083.08,3249.24
85,30,54,2,48.76,97.52
86,31,20,2,463.52,927.04
87,31,77,4,1310.38,5241.52
88,31,42,3,1062.94,3188.82
89,31,145,4,57.09,228.36
90,32,21,3,1712.08,5136.24
91,32,129,1,81.7,81.7
92,33,112,2,577.12,1154.24
93,34,88,4,1730.65,6922.6
94,35,8,4,448.68,1794.72
95,35,70,2,667.55,1335.1
96,35,116,3,1864.19,5592.57
97,36,97,1,123.19,123.19
98,36,111,3,146.89,440.67
99,36,48,2,1526.3,3052.6
100,36,150,1,1941.1,1941.1
101,36,98,1,1704.17,1704.17
102,37,40,3,1364.16,4092.48
103,37,98,3,1704.17,5112.51
104,37,100,1,248.57,248.57
105,38,2,3,557.31,1671.93
106,39,93,1,600.45,600.45
107,39,70,2,667.55,1335.1
108,39,27,4,547.2,2188.8
109,39,34,4,537.11,2148.44
110,40,143,1,407.15,407.15
111,40,132,3,1866.85,5600.55
112,40,105,1,538.57,538.57
113,40,27,3,547.2,1641.6
114,40,7,4,1434.88,5739.52
115,41,75,4,1321.38,5285.52
116,42,22,2,563.17,1126.34
117,42,144,4,617.33,2469.32
118,42,63,2,630.32,1260.64
119,42,147,2,565.46,1130.92
120,43,78,2,811.22,1622.44
121,43,69,1,144.13,144.13
122,43,127,2,29.24,58.48
123,44,71,1,564.17,564.17
124,44,108,3,921.99,2765.97
125,44,77,3,1310.38,3931.14
126,44,124,2,17.06,34.12
127,45,51,3,314.15,942.45
128,45,118,1,1780.53,1780.53
129,45,28,4,1372.38,5489.52
130,45,35,3,1127.12,3381.36
131,46,98,2,1704.17,3408.34
132,46,85,3,39.37,118.11
133,46,113,3,1091.0,3273.0
134,46,86,2,1509.6,3019.2
135,46,111,4,146.89,587.56
136,47,46,3,875.18,2625.54
137,47,102,4,173.15,692.6
138,47,82,2,507.11,1014.22
139,48,97,3,123.19,369.57
140,48,72,1,1083.08,1083.08
141,48,101,2,1162.05,2324.1
142,49,140,2,1343.12,2686.24
143,49,47,4,1908.09,7632.36
144,49,141,3,326.8,980.4
145,49,7,1,1434.88,1434.88
146,49,119,4,551.97,2207.88
147,50,36,2,1173.33,2346.66
148,50,78,4,811.22,3244.88
149,50,62,4,1858.54,7434.16
150,50,65,1,503.33,503.33
151,51,123,4,1272.23,5088.92
152,51,150,1,1941.1,1941.1
153,51,103,3,1050.34,3151.02
154,51,137,1,333.38,333.38
155,52,64,3,1800.23,5400.69
156,53,12,4,1529.35,6117.4
157,53,145,3,57.09,171.27
158,54,28,2,1372.38,2744.76
159,54,3,2,1475.58,2951.16
160,54,26,4,497.17,1988.68
161,54,67,3,1181.0,3543.0
162,55,119,1,551.97,551.97
163,55,129,4,81.7,326.8
164,55,39,1,228.2,228.2
165,55,89,3,764.16,2292.48
166,56,22,3,563.17,1689.51
167,56,30,3,542.8,1628.4
168,56,37,4,730.37,2921.48
169,56,90,2,1853.77,3707.54
170,57,124,4,17.06,68.24
171,57,90,3,1853.77,5561.31
172,57,122,1,982.18,982.18
173,57,25,3,1273.61,3820.83
174,57,113,1,1091.0,1091.0
175,58,6,3,1208.02,3624.06
176,59,43,2,1885.44,3770.88
177,60,45,4,1285.51,5142.04
178,60,142,4,1745.61,6982.44
179,60,41,2,775.69,1551.38
180,60,85,4,39.37,157.48
181,60,144,2,617.33,1234.66
182,61,111,1,146.89,146.89
183,61,102,2,173.15,346.3
184,62,110,2,537.75,1075.5
185,62,100,3,248.57,745.71
186,62,2,1,557.31,557.31
187,62,55,1,1970.79,1970.79
188,63,48,1,1526.3,1526.3
189,63,94,3,1474.12,4422.36
190,63,84,4,110.67,442.68
191,63,51,3,314.15,942.45
192,63,118,4,1780.53,7122.12
193,64,101,2,1162.05,2324.1
194,64,30,3,542.8,1628.4
195,64,90,1,1853.77,1853.77
196,64,91,2,851.78,1703.56
197,64,118,3,1780.53,5341.59
198,65,62,3,1858.54,5575.62
199,66,47,3,1908.09,5724.27
200,67,131,4,93.24,372.96
201,67,100,2,248.57,497.14
202,68,99,2,145.24,290.48
203,68,109,2,155.79,311.58
204,68,48,4,1526.3,6105.2
205,68,125,3,1959.8,5879.4
206,68,138,2,830.47,1660.94
207,69,81,1,849.54,849.54
208,69,116,3,1864.19,5592.57
209,70,125,2,1959.8,3919.6
210,71,99,4,145.24,580.96
211,71,144,4,617.33,2469.32
212,72,107,1,1858.75,1858.75
213,72,114,1,1967.87,1967.87
214,72,126,2,889.25,1778.5
215,72,43,3,1885.44,5656.32
216,73,71,2,564.17,1128.34
217,74,74,1,820.05,820.05
218,74,44,1,1770.73,1770.73
219,74,118,3,1780.53,5341.59
220,74,145,3,57.09,171.27
221,74,127,1,29.24,29.24
