order_id,customer_id,order_date,order_status
1,68,2025-12-03,Delivered
2,28,2026-01-02,Shipped
3,89,2025-04-26,Cancelled
4,112,2024-12-25,Delivered
5,99,2025-09-13,Returned
6,66,2024-10-02,Delivered
7,182,2024-08-14,Shipped
8,1,2026-04-12,Returned
9,94,2024-08-25,Shipped
10,18,2024-10-19,Cancelled
11,160,2024-05-17,Cancelled
12,170,2025-09-10,Delivered
13,185,2025-12-30,Cancelled
14,130,2024-11-27,Cancelled
15,171,2024-05-24,Shipped
16,84,2025-05-06,Shipped
17,179,2025-06-05,Cancelled
18,142,2026-03-10,Returned
19,50,2025-06-06,Shipped
20,171,2025-07-11,Shipped
21,174,2026-02-01,Returned
22,158,2024-05-19,Cancelled
23,104,2025-08-30,Delivered
24,78,2026-03-31,Cancelled
25,54,2025-06-02,Shipped
26,149,2024-11-15,Cancelled
27,120,2024-10-30,Shipped
28,114,2025-08-15,Returned
29,131,2025-10-09,Shipped
30,189,2025-05-19,Returned
31,169,2025-05-02,Delivered
32,73,2025-03-29,Cancelled
33,24,2025-04-23,Returned
34,173,2024-07-15,Cancelled
35,58,2025-08-24,Returned
36,38,2025-08-24,Delivered
37,12,2024-05-20,Returned
38,122,2024-11-21,Delivered
39,117,2026-03-31,Shipped
40,162,2025-07-14,Returned
41,184,2024-12-17,Shipped
42,127,2025-09-08,Shipped
43,63,2025-09-15,Returned
44,168,2025-07-22,Delivered
45,193,2026-02-11,Delivered
46,200,2026-02-14,Shipped
47,57,2024-10-23,Returned
48,179,2024-06-21,Shipped
49,13,2024-10-05,Returned
50,32,2024-09-07,Shipped
51,35,2024-06-26,Shipped
52,171,2025-10-04,Cancelled
53,194,2025-02-10,Shipped
54,157,2024-06-12,Shipped
55,141,2024-09-04,Shipped
56,41,2026-03-09,Shipped
57,116,2024-06-09,Cancelled
58,193,2025-10-15,Returned
59,164,2025-08-07,Cancelled
60,197,2026-02-24,Shipped
61,161,2025-08-26,Returned
62,71,2025-01-01,Shipped
63,20,2025-01-27,Cancelled
64,61,2026-04-29,Cancelled
65,86,2024-07-22,Cancelled
66,139,2024-06-22,Delivered
67,36,2024-08-07,Returned
68,60,2025-04-03,Shipped
69,178,2024-09-30,Returned
70,181,2024-09-17,Returned
71,17,2025-10-19,Shipped
72,105,2024-12-21,Cancelled
73,139,2025-09-01,Shipped
74,107,2025-10-10,Delivered
75,53,2025-11-03,Shipped
76,100,2025-11-09,Delivered
77,196,2025-08-20,Shipped
78,123,2025-08-02,Delivered
79,91,2026-01-16,Cancelled
80,193,2025-07-25,Shipped
81,108,2024-09-29,Returned
82,125,2025-05-03,Returned
83,70,2025-12-18,Shipped
84,125,2025-08-07,Delivered
85,100,2025-02-18,Cancelled
86,172,2026-05-08,Shipped
87,186,2024-06-11,Returned
88,120,2024-07-26,Returned
89,160,2026-01-01,Delivered
