payment_id,order_id,payment_method,payment_amount,payment_status
1,1,Cash on Delivery,15059.81,Paid
2,2,Net Banking,10410.18,Failed
3,3,UPI,3113.52,Paid
4,4,Debit Card,5536.98,Paid
5,5,Cash on Delivery,2469.32,Pending
6,6,Cash on Delivery,4766.93,Pending
7,7,Credit Card,5592.57,Failed
8,8,Net Banking,1660.94,Failed
9,9,Debit Card,576.52,Failed
10,10,Debit Card,7718.58,Failed
11,11,Cash on Delivery,4659.82,Failed
12,12,Credit Card,18250.89,Failed
13,13,UPI,11338.17,Failed
14,14,UPI,2377.71,Paid
15,15,UPI,4328.8,Paid
16,16,Credit Card,785.78,Pending
17,17,Credit Card,12691.1,Paid
18,18,Cash on Delivery,7379.56,Failed
19,19,Credit Card,12195.76,Failed
20,20,Debit Card,6278.13,Pending
21,21,Credit Card,68.24,Failed
22,22,Cash on Delivery,2229.24,Pending
23,23,UPI,589.35,Failed
24,24,Debit Card,3224.04,Pending
25,25,Net Banking,7590.61,Failed
26,26,Credit Card,3022.46,Pending
27,27,Net Banking,6300.76,Paid
28,28,Debit Card,5864.48,Failed
29,29,Net Banking,5705.63,Failed
30,30,Credit Card,97.52,Failed
31,31,Credit Card,9585.74,Paid
32,32,Debit Card,5217.94,Failed
33,33,Credit Card,1154.24,Failed
34,34,Debit Card,6922.6,Failed
35,35,Cash on Delivery,8722.39,Failed
36,36,Credit Card,7261.73,Pending
37,37,Credit Card,9453.56,Pending
38,38,Net Banking,1671.93,Pending
39,39,UPI,6272.79,Failed
40,40,Credit Card,13927.39,Paid
41,41,Debit Card,5285.52,Paid
42,42,Cash on Delivery,5987.22,Paid
43,43,Cash on Delivery,1825.05,Pending
44,44,UPI,7295.4,Pending
45,45,UPI,11593.86,Pending
46,46,Debit Card,10406.21,Pending
47,47,Credit Card,4332.36,Paid
48,48,Debit Card,3776.75,Paid
49,49,UPI,14941.76,Pending
50,50,Credit Card,13529.03,Pending
51,51,UPI,10514.42,Paid
52,52,Credit Card,5400.69,Failed
53,53,Debit Card,6288.67,Failed
54,54,Net Banking,11227.6,Paid
55,55,Cash on Delivery,3399.45,Pending
56,56,Cash on Delivery,9946.93,Pending
57,57,Cash on Delivery,11523.56,Pending
58,58,Cash on Delivery,3624.06,Paid
59,59,UPI,3770.88,Paid
60,60,Debit Card,15068.0,Pending
61,61,Credit Card,493.19,Pending
62,62,Cash on Delivery,4349.31,Failed
63,63,Cash on Delivery,14455.91,Pending
64,64,Net Banking,12851.42,Failed
65,65,Credit Card,5575.62,Pending
66,66,UPI,5724.27,Failed
67,67,Cash on Delivery,870.1,Failed
68,68,Credit Card,14247.6,Failed
69,69,Credit Card,6442.11,Paid
70,70,Net Banking,3919.6,Failed
71,71,Debit Card,3050.28,Paid
72,72,Debit Card,11261.44,Failed
73,73,Credit Card,1128.34,Failed
74,74,Cash on Delivery,8132.88,Pending
75,75,Net Banking,5406.64,Paid
76,76,Net Banking,5529.09,Pending
77,77,Net Banking,13443.88,Failed
78,78,Debit Card,3028.82,Pending
79,79,Net Banking,1128.34,Failed
80,80,Credit Card,7384.89,Pending
81,81,UPI,12071.57,Pending
82,82,Net Banking,4028.25,Pending
83,83,UPI,4159.95,Failed
84,84,UPI,3896.94,Paid
85,85,Credit Card,10430.72,Paid
86,86,Credit Card,1988.68,Failed
